id,cost,velocity_scene4,velocity_scene2,cost_scene4,cost_scene2,sliding_friction,torsional_friction,rolling_friction,solref_timeconst,solref_dampratio,solimp_dmin,solimp_dmax,solimp_width,kp_mag
6507fdf6,66.65004352150457,0.003351873549711944,0.02365962366230366,66.63650843833817,0.013535083166396818,0.0027518942229624193,0.01112580782263019,1.1693538128393742e-05,0.050299967078898444,1.928283342113144,0.8468708101667461,0.9982333137838657,0.0003333646924358046,4.6518734751664315e-07
f827346d,93.16595560298627,-5.396790344927862e-05,-0.004163306587897309,0.04412266943198329,93.12183293355429,0.07040364741677746,0.01130439800208364,4.589562857079368e-05,0.03742902546905432,0.5150043723855543,0.8,0.9691547311368425,0.003390320114789552,2.0378990104732832e-07
7f412399,103.0999491995806,0.0017443391325820587,0.00724056640681244,0.04337042028332499,103.05657877929728,0.1442400336942442,0.0004180844531827101,0.0003464239694662405,0.08150475014105288,0.26213241312803803,0.99,0.9789583071031729,0.0008828731090057944,2.5458699495030517e-07
9a827bb7,164.26459725998086,0.3301216425855496,0.0534639589986605,0.014429209017450526,164.2501680509634,1.7030611647781087e-05,0.0004909157162552615,0.1,0.01697022043993221,0.19160677954967667,0.99,0.95,0.0008646579991167778,1.3809825763870385e-06
4486dfbd,224.93381889754656,0.06277096182837305,0.08669088747001662,212.0514017461662,12.882417151380373,2.1021545282066937e-05,0.00012322945573377532,6.415420869927456e-05,0.0765173607932126,0.16418338493626783,0.8468512591367466,0.977767174529534,0.0024788256747272953,1.0367562220300089e-06
495df26b,356.28889667507906,0.08457424135773514,0.1273109813770351,356.28873566388546,0.0001610111936139507,0.02084563566186329,1.1247432005185137e-05,4.68352586535407e-05,0.07588364874689489,0.15680256859802516,0.8939836562221153,0.9775760142966982,0.005531974236087333,1.0593152726941175e-06
f8f037a4,378.3338683210311,5.368606585662266e-05,0.0068861093849093636,0.04407745473453388,378.2897908662966,1e-05,3.1848761812745446e-05,1.5778176352814825e-05,0.0997731107409093,1.600176945196319,0.8,0.999,0.006532908517360392,4.0375761159725746e-07
e484b735,449.2175930684802,0.19784534707600043,0.1620920734771386,446.00095901178764,3.2166340566925484,0.04191620681102136,3.564009800012824e-05,0.053743179210593815,0.017913662724349178,0.2966002437772582,0.9798752123277105,0.9512298760520373,0.005542828748624045,2.1427864853575695e-06
289bd78d,644.5004434097156,0.0026257803457934385,-0.005690470978979217,0.043004066977191106,644.4574393427383,0.002640393871636697,0.019243760372854014,0.035133201260218766,0.009045812195555166,0.5898510232182862,0.8824866190417322,0.9841826907583758,0.00012429485572157305,2.031605616664064e-07
41e5f10d,679.317165930275,0.22416502553965073,0.18681449344044862,73.27387274798613,606.0432931822888,0.04186206075645262,0.013379421828064486,0.00024800433158051523,0.01269080319825646,1.8520234044231987,0.8729842300699645,0.9750222541999769,0.004081494645795034,2.18702498892185e-06
79c4929f,686.7236705484723,0.343603814079757,0.11831439503279037,0.017849979136658273,686.7058205693356,0.7423775987519424,0.0012686151625972166,0.010683984818313905,0.04189531787662798,0.16548576066782716,0.8922694141080265,0.981048022183813,0.00027997622928340105,1.0520215013071121e-06
3dadfb0b,691.4786198276704,0.1338613911388713,-0.2929725615090623,0.005797087759307945,691.4728227399111,1.4586385442703207e-05,0.00020485627631435403,0.1,0.018757995042059425,0.11305552695014927,0.8,0.95,0.002524883120177462,1.0977399413614034e-06
